year,sex,ager12,ucr39,count
2007,F,1,42,33
2007,F,2,3,1
2007,F,2,12,7
2007,F,2,13,2
2007,F,2,14,54
2007,F,2,15,111
2007,F,2,16,2
2007,F,2,21,5
2007,F,2,22,86
2007,F,2,24,32
2007,F,2,26,3
2007,F,2,27,54
2007,F,2,28,27
2007,F,2,30,2
2007,F,2,31,11
2007,F,2,33,36
2007,F,2,34,263
2007,F,2,36,105
2007,F,2,37,452
2007,F,2,38,243
2007,F,2,39,377
2007,F,2,41,185
2007,F,2,42,23
2007,F,3,1,1
2007,F,3,3,7
2007,F,3,7,2
2007,F,3,12,15
2007,F,3,13,10
2007,F,3,14,136
2007,F,3,15,301
2007,F,3,16,10
2007,F,3,21,9
2007,F,3,22,100
2007,F,3,24,48
2007,F,3,26,3
2007,F,3,27,52
2007,F,3,28,40
2007,F,3,29,1
2007,F,3,31,11
2007,F,3,32,1
2007,F,3,33,8
2007,F,3,34,181
2007,F,3,36,48
2007,F,3,37,525
2007,F,3,38,524
2007,F,3,39,343
2007,F,3,40,53
2007,F,3,41,137
2007,F,3,42,19
2007,F,4,1,3
2007,F,4,3,72
2007,F,4,5,7
2007,F,4,6,9
2007,F,4,7,2
2007,F,4,8,8
2007,F,4,9,15
2007,F,4,10,38
2007,F,4,12,14
2007,F,4,13,47
2007,F,4,14,179
2007,F,4,15,354
2007,F,4,16,70
2007,F,4,20,11
2007,F,4,21,45
2007,F,4,22,329
2007,F,4,23,10
2007,F,4,24,82
2007,F,4,25,2
2007,F,4,26,17
2007,F,4,27,72
2007,F,4,28,54
2007,F,4,29,1
2007,F,4,30,16
2007,F,4,31,44
2007,F,4,32,162
2007,F,4,33,7
2007,F,4,34,161
2007,F,4,36,183
2007,F,4,37,1152
2007,F,4,38,2922
2007,F,4,39,1118
2007,F,4,40,661
2007,F,4,41,723
2007,F,4,42,138
2007,F,5,1,7
2007,F,5,3,439
2007,F,5,5,67
2007,F,5,6,120
2007,F,5,7,20
2007,F,5,8,57
2007,F,5,9,345
2007,F,5,10,294
2007,F,5,12,22
2007,F,5,13,75
2007,F,5,14,187
2007,F,5,15,592
2007,F,5,16,251
2007,F,5,17,1
2007,F,5,20,116
2007,F,5,21,239
2007,F,5,22,693
2007,F,5,23,39
2007,F,5,24,256
2007,F,5,26,45
2007,F,5,27,145
2007,F,5,28,114
2007,F,5,29,8
2007,F,5,30,123
2007,F,5,31,120
2007,F,5,32,327
2007,F,5,34,174
2007,F,5,36,295
2007,F,5,37,1967
2007,F,5,38,1685
2007,F,5,39,1989
2007,F,5,40,1002
2007,F,5,41,746
2007,F,5,42,305
2007,F,6,1,9
2007,F,6,2,2
2007,F,6,3,1075
2007,F,6,5,208
2007,F,6,6,597
2007,F,6,7,213
2007,F,6,8,942
